2026-01-17 10:36:37,940 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:36:39,903 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:03,219 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:37:03,322 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,108 - INFO - Phone migrated to 4
2026-01-17 10:37:13,234 - INFO - Reconnecting to new data center 4
2026-01-17 10:37:13,392 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:37:13,393 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,393 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:37:14,790 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:38:14,657 - INFO - Starting scrape for channel: lobelia4cosmetics
2026-01-17 10:38:15,223 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:15,482 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:15,685 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:15,958 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:16,162 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:16,360 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:16,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:16,734 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:16,929 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:17,087 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:17,229 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:17,419 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:17,631 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:17,857 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:18,047 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:18,333 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:19,230 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:19,425 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:19,631 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:20,986 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:21,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:21,325 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:21,662 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:22,086 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:23,191 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:23,533 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:23,835 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:23,988 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:24,170 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:24,491 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:24,735 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:24,920 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:25,042 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:25,174 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:25,303 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:25,674 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:25,886 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:26,080 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:26,483 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:26,874 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:27,103 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:27,234 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:27,460 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:27,636 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:27,808 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:27,985 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:28,188 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:28,396 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:28,869 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:29,100 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:29,548 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:29,801 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:30,040 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:30,495 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:30,677 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:30,860 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:31,051 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:31,305 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:31,784 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:31,957 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:32,147 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:32,503 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
